station,condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
Birr co offlay,lags_meteo,xgboost_direct,9,212,6.134815831449729,7.786464309861672,9.644616588443396,14.845672831313207,0.3639129378351093,0.4755061358055739
Birr co offlay,lags_meteo,xgboost_direct,10,212,6.700494139148107,8.609907796750306,10.012999592273584,15.328205345664143,0.3308204921611635,0.4382964213624805
Birr co offlay,lags_meteo,xgboost_direct,11,212,6.333067627184606,8.53989124467269,9.785991932273586,15.38092581256083,0.3528435675183271,0.4447739135638643
Birr co offlay,lags_meteo,xgboost_direct,12,212,6.389610405740264,10.042749259824951,9.526130719575471,15.692270620784226,0.329254385244777,0.3600193686104641
Birr co offlay,lags_meteo,xgboost_direct,13,212,6.417375040923906,9.6776468807952,9.151914323867926,15.12706082804524,0.2987942397813342,0.3602427470343047
Birr co offlay,lags_meteo,xgboost_direct,14,212,5.296514880825063,9.203205858780588,8.806124925047172,14.790613826526991,0.3985419323588927,0.3777671456559415
Birr co offlay,lags_meteo,xgboost_direct,15,211,5.039170348160591,8.202514967150384,8.390366017393365,14.098457790948576,0.3994099497311191,0.4181977143332285
Birr co offlay,lags_meteo,xgboost_direct,16,211,5.228077143296625,8.230963290771182,8.338578147488152,14.127488764711272,0.3730253466687854,0.4173795903960571
Birr co offlay,lags_meteo,xgboost_direct,17,212,4.843373825601046,7.513809612525753,8.476087709339623,14.522899445768996,0.4285838004880207,0.482623312198531
Birr co offlay,lags_meteo,xgboost_direct,18,212,6.243571906325716,9.660005910703426,9.711468644433962,16.749104897509746,0.3570929243637973,0.4232524084233496
Birr co offlay,lags_meteo,xgboost_direct,19,212,8.02968613391426,13.230392861967749,11.167648273820756,19.541219110543636,0.2809868347360581,0.322949464558781
Birr co offlay,lags_meteo,xgboost_direct,20,212,9.110817871006798,15.415054128719849,12.099985763726416,21.467150083627505,0.2470389594738703,0.2819235870309329
Birr co offlay,lags_meteo,xgboost_direct,21,212,8.821117045154004,16.105411679365492,11.91951525754717,21.675368351870524,0.2599433068749444,0.2569717193306364
Birr co offlay,lags_meteo,xgboost_direct,22,212,6.84614259345854,9.67803500319904,9.997427804245282,16.419249589858655,0.3152095991579543,0.4105677637559833
Birr co offlay,lags_meteo,xgboost_direct,23,212,6.006889915949321,8.950505738239464,9.696251708679243,16.221772354270485,0.3804936075893664,0.4482411944411741
Birr co offlay,lags_meteo,xgboost_direct,24,212,6.7721724747322165,10.101969478340386,10.198217364292452,15.720667298345692,0.3359454664651514,0.3574083538169254
Birr co offlay,lags_only,xgboost_direct,1,211,5.608509805717774,7.486457458506323,8.473596046303319,14.12406006673371,0.3381192854756705,0.4699500410551837
Birr co offlay,lags_only,xgboost_direct,2,212,4.975926425625582,6.658621364873306,8.659978836462264,14.533548890991174,0.425411248734838,0.5418447748160984
Birr co offlay,lags_only,xgboost_direct,3,212,4.592700430209753,6.038532940190311,8.624216583820754,14.701264015382009,0.4674646229518663,0.5892507655211032
Birr co offlay,lags_only,xgboost_direct,4,212,4.500209863654221,5.794197160164154,8.785980914764151,14.87352355890036,0.4877965354907644,0.6104354736644169
Birr co offlay,lags_only,xgboost_direct,5,212,4.502473601852351,5.761883219170665,8.990306351367924,14.95049002185638,0.4991857423003971,0.6146023835508222
Birr co offlay,lags_only,xgboost_direct,6,212,4.8482849141744015,6.380609733851271,9.243238354150945,15.105319897589112,0.4754776704425091,0.5775918830511064
Birr co offlay,lags_only,xgboost_direct,7,212,5.196890494717545,6.5024746546461065,9.398566399103776,15.071642496595285,0.447054979021789,0.5685623079160065
