station,horizon,n_origins_lags_only,n_origins_lags_meteo,n_origins_common,first_date,last_date,n_months,months,coverage_pct,exclusion_reason
Madrid Casa de Campo,7,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,8,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,9,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,10,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,11,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,12,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,13,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,14,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,15,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,16,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,17,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,18,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,19,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,20,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,21,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,22,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,23,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Madrid Casa de Campo,24,362,362,362,2023-01-01,2023-12-30 00:00:00,12,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12,100.0,none
Pearse street dublin,1,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,2,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,3,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,4,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,5,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,6,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,7,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,8,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,9,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,10,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,11,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
Pearse street dublin,12,212,212,212,2023-01-01,2023-07-31 00:00:00,7,2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07,100.0,none
