condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
lags_meteo,xgboost_direct,23,357,7.586664198827343,13.826950394644358,7.453781512605042,12.42580219640123,-0.017827553168493493,-0.11276118644870503
lags_meteo,xgboost_direct,24,354,7.5251326554239135,14.36620627972122,7.5875706214689265,12.674321207823954,0.008228979888285415,-0.1334892057850683
lags_only,xgboost_direct,1,354,3.5124979914918457,5.111287696592806,3.632768361581921,5.081816482032989,0.03310708476818558,-0.005799346486440982
lags_only,xgboost_direct,2,350,4.209408494404384,6.301690748131658,4.3342857142857145,6.1400325732035,0.028811487777498868,-0.026328553309907576
lags_only,xgboost_direct,3,353,4.0650816753971,5.772288722657051,4.356940509915014,6.077404396009415,0.06698710571184885,0.05020493182133989
lags_only,xgboost_direct,4,354,4.113826076189677,5.884690685375805,4.5423728813559325,6.555284235822988,0.09434425934630242,0.10229816531563307
lags_only,xgboost_direct,5,355,4.185921276119394,5.9661322170828415,5.149295774647888,7.172718266037197,0.18708859243852038,0.16821879853660748
lags_only,xgboost_direct,6,356,4.151686432656278,6.0351571528177725,5.480337078651686,7.596754185657409,0.24243958481515382,0.20556108499441972
lags_only,xgboost_direct,7,356,4.291698949390582,6.410155168769527,5.581460674157303,7.956518068557433,0.2310796044373189,0.19435171094486958
lags_only,xgboost_direct,8,354,4.469873269399007,6.2626064242763055,5.830508474576271,8.170845235617108,0.23336475902749587,0.233542400610245
lags_only,xgboost_direct,9,354,5.775512811154296,8.01661221892417,7.0423728813559325,9.709480485558176,0.17989108096726014,0.17435209526935747
lags_only,xgboost_direct,10,348,7.113180955251058,9.953796452091778,7.968390804597701,11.404904167964752,0.1073252894239567,0.127235415090027
lags_only,xgboost_direct,11,348,8.004145840118671,11.5959525838762,8.100574712643677,12.229016746031245,0.011903954465662392,0.051767380428234144
lags_only,xgboost_direct,12,346,8.337795852925735,12.33637917556209,8.228323699421965,12.20122707749232,-0.013304308083001093,-0.01107692670674787
lags_only,xgboost_direct,13,346,7.89321981413516,11.39137982550383,7.76878612716763,11.385011950359411,-0.016017133813528872,-0.0005593209012149103
lags_only,xgboost_direct,14,345,8.027291011810302,11.227853015126081,7.56231884057971,10.955377211902494,-0.06148539634900496,-0.024871421399123905
lags_only,xgboost_direct,15,344,8.256877913031467,12.137479640729472,8.19767441860465,12.52857199680274,-0.007221986554193149,0.031216036127107993
lags_only,xgboost_direct,16,349,8.184572454168325,12.571258123246642,8.160458452722063,12.496188530655909,-0.002954981216553909,-0.006007399168680205
lags_only,xgboost_direct,17,350,8.122679718903132,13.31046299287989,8.222857142857142,12.895624950235753,0.012182799994407079,-0.03216889792041866
lags_only,xgboost_direct,18,352,8.176899517801674,13.892730035289231,7.9147727272727275,13.08212694689,-0.03311867561600468,-0.061962637397578124
lags_only,xgboost_direct,19,352,7.571762889623642,13.015515327843476,7.349431818181818,12.180811101519845,-0.030251463914774623,-0.06852616130131772
lags_only,xgboost_direct,20,353,7.478936040029985,13.51233056352408,7.317280453257791,11.970099670386213,-0.022092304347884006,-0.1288402716439625
lags_only,xgboost_direct,21,354,7.203959887984109,14.259933227828249,7.019774011299435,11.87874234816175,-0.02623814903274635,-0.20045816382531378
lags_only,xgboost_direct,22,357,7.167899705448738,13.062518853123123,7.30532212885154,11.982947734784034,0.01881127498266888,-0.09009228298687444
lags_only,xgboost_direct,23,357,7.377607240062468,13.516846628375662,7.453781512605042,12.42580219640123,0.01021954727459562,-0.08780474811440508
lags_only,xgboost_direct,24,354,7.59662316680628,15.903839442170158,7.5875706214689265,12.674321207823954,-0.0011930755954665528,-0.254807983906278
