origin,train_start_config,xgboost_train_end_effective,xgboost_n_train_rows_nominal_hourly,sarima_n_train_rows_used,sarima_capped_at_17520,sarima_train_start_effective
2023-08-27,2019-01-01,2023-08-26T23:00:00,40776,17520,True,2021-08-27T00:00:00
2023-08-28,2019-01-01,2023-08-27T23:00:00,40800,17520,True,2021-08-28T00:00:00
2023-08-29,2019-01-01,2023-08-28T23:00:00,40824,17520,True,2021-08-29T00:00:00
2023-08-30,2019-01-01,2023-08-29T23:00:00,40848,17520,True,2021-08-30T00:00:00
2023-08-31,2019-01-01,2023-08-30T23:00:00,40872,17520,True,2021-08-31T00:00:00
2023-09-01,2019-01-01,2023-08-31T23:00:00,40896,17520,True,2021-09-01T00:00:00
2023-09-02,2019-01-01,2023-09-01T23:00:00,40920,17520,True,2021-09-02T00:00:00
2023-09-03,2019-01-01,2023-09-02T23:00:00,40944,17520,True,2021-09-03T00:00:00
2023-09-04,2019-01-01,2023-09-03T23:00:00,40968,17520,True,2021-09-04T00:00:00
2023-09-05,2019-01-01,2023-09-04T23:00:00,40992,17520,True,2021-09-05T00:00:00
2023-09-06,2019-01-01,2023-09-05T23:00:00,41016,17520,True,2021-09-06T00:00:00
2023-09-07,2019-01-01,2023-09-06T23:00:00,41040,17520,True,2021-09-07T00:00:00
2023-09-08,2019-01-01,2023-09-07T23:00:00,41064,17520,True,2021-09-08T00:00:00
2023-09-09,2019-01-01,2023-09-08T23:00:00,41088,17520,True,2021-09-09T00:00:00
2023-09-10,2019-01-01,2023-09-09T23:00:00,41112,17520,True,2021-09-10T00:00:00
2023-09-11,2019-01-01,2023-09-10T23:00:00,41136,17520,True,2021-09-11T00:00:00
2023-09-12,2019-01-01,2023-09-11T23:00:00,41160,17520,True,2021-09-12T00:00:00
2023-09-13,2019-01-01,2023-09-12T23:00:00,41184,17520,True,2021-09-13T00:00:00
2023-09-14,2019-01-01,2023-09-13T23:00:00,41208,17520,True,2021-09-14T00:00:00
2023-09-15,2019-01-01,2023-09-14T23:00:00,41232,17520,True,2021-09-15T00:00:00
